weather_severity,system_load,staffing_level,incident_type,delay_minutes,disruption,estimated_cost
0,High,Adequate,None,123,0,6680.1
1,Low,Adequate,None,150,0,8890.25
1,Low,Adequate,None,161,0,6625.29
2,Medium,Adequate,Minor,138,1,14282.52
3,High,Adequate,None,162,1,17106.33
3,Medium,Adequate,None,115,1,11169.05
1,Medium,Low,None,92,1,12466.8
2,Low,Adequate,Minor,41,0,1981.23
1,Medium,Adequate,None,27,0,1600.67
1,High,Low,None,122,1,11276.62
1,Medium,Low,None,23,1,5875.78
2,High,Adequate,None,135,1,11214.59
3,High,Low,None,105,1,10979.33
2,Low,Adequate,Minor,117,0,6650.36
0,Medium,Adequate,None,52,0,3457.22
2,Low,Adequate,None,131,0,7314.3
2,High,Adequate,None,99,1,9866.93
2,Medium,Low,Minor,4,1,4228.71
2,Medium,Adequate,None,48,0,2999.01
3,High,Adequate,None,97,1,13676.97
0,Medium,Adequate,None,29,0,1224.0
3,High,Low,None,71,1,5982.67
3,Medium,Adequate,None,102,1,12095.52
2,Low,Low,None,62,1,8504.99
1,Medium,Low,None,174,1,13739.52
1,High,Low,None,25,1,7742.53
3,Medium,Low,None,36,1,8051.64
3,High,Adequate,None,6,1,6982.72
2,High,Low,None,126,1,14506.86
3,Low,Adequate,Minor,167,1,11241.9
2,High,Adequate,Major,91,1,12245.64
1,Low,Adequate,Major,166,1,17883.49
1,Low,Low,Major,102,1,11821.32
0,Low,Adequate,Minor,52,0,3454.52
1,High,Adequate,Minor,131,1,13917.97
3,Medium,Adequate,None,107,1,13232.42
1,Low,Low,Minor,111,1,14742.96
2,Medium,Adequate,None,152,0,9172.24
1,Medium,Adequate,None,6,0,314.6
0,Low,Adequate,Minor,155,0,9406.33
1,High,Low,None,66,1,9713.82
2,High,Adequate,None,107,1,11022.81
2,Medium,Low,Major,110,1,15417.2
3,High,Low,None,147,1,14405.67
1,Medium,Adequate,None,82,0,4866.01
2,High,Low,Major,123,1,11612.71
0,Medium,Low,Minor,138,1,13387.76
3,Medium,Low,None,103,1,7596.39
0,Low,Adequate,None,66,0,3737.28
1,High,Adequate,None,6,0,377.17
1,Medium,Adequate,Major,150,1,15377.74
1,Low,Adequate,None,109,0,7109.37
3,Low,Low,None,33,1,8897.68
2,Medium,Adequate,None,105,0,5355.27
3,Medium,Adequate,None,146,1,10199.96
0,High,Low,Major,57,1,8056.69
3,High,Adequate,None,8,1,3454.67
0,Low,Adequate,Minor,47,0,3225.33
3,High,Low,None,114,1,11007.87
2,Low,Low,Minor,40,1,10260.74
0,High,Low,Major,47,1,9713.28
1,High,Low,None,172,1,15602.8
1,Medium,Adequate,None,24,0,1358.92
3,High,Adequate,None,115,1,13757.71
1,Medium,Adequate,Minor,77,0,3092.36
0,Medium,Adequate,None,107,0,6681.85
1,High,Low,Major,24,1,9107.46
2,Medium,Adequate,Minor,146,1,14088.81
2,Medium,Adequate,Major,38,1,6642.64
3,Medium,Adequate,Minor,118,1,13674.5
0,High,Adequate,None,78,0,5304.81
2,Medium,Adequate,None,79,0,4445.46
2,Low,Adequate,None,26,0,1451.42
0,High,Adequate,Major,103,1,8169.0
1,High,Low,Minor,73,1,10561.4
1,Low,Low,Minor,67,1,9578.86
3,Low,Low,None,146,1,12896.01
1,Low,Low,None,27,0,1593.42
0,Medium,Adequate,Minor,122,0,8227.5
2,Medium,Adequate,None,160,0,7401.53
1,High,Adequate,None,137,0,8214.27
3,Medium,Adequate,Minor,82,1,9923.42
1,Medium,Adequate,None,29,0,1685.27
0,Medium,Low,None,21,0,943.28
3,High,Low,None,2,1,6617.34
1,Medium,Adequate,None,100,0,4903.69
3,High,Adequate,Major,104,1,11068.39
0,Medium,Adequate,None,175,0,10147.01
2,Low,Low,None,1,1,5491.12
0,Medium,Low,None,53,0,3299.2
0,Medium,Adequate,Minor,5,0,245.4
0,Medium,Low,None,106,0,6346.34
0,Low,Low,None,167,0,7473.0
2,Low,Adequate,None,122,0,7398.51
2,High,Low,None,1,1,4286.52
3,Low,Adequate,None,110,0,5803.68
1,High,Low,Minor,1,1,6901.49
2,Low,Low,Major,92,1,10381.62
2,Medium,Adequate,None,100,0,4786.11
1,Medium,Adequate,None,96,0,6379.35
2,Medium,Adequate,Major,110,1,14217.3
0,Medium,Adequate,None,5,0,229.47
0,Low,Low,Minor,126,0,7360.34
1,Low,Adequate,None,103,0,4391.05
3,Medium,Low,Major,146,1,13991.88
3,Medium,Adequate,Minor,154,1,15621.96
1,High,Adequate,Major,0,1,7053.6
1,High,Adequate,Minor,32,1,5103.47
0,High,Adequate,None,39,0,1890.57
3,High,Low,Major,31,1,5992.23
2,Medium,Low,None,16,1,4419.5
0,Low,Adequate,None,125,0,7696.34
1,High,Adequate,Minor,7,1,4934.64
3,Medium,Adequate,Minor,56,1,9040.15
2,Medium,Low,Major,41,1,8264.72
2,Low,Low,None,97,1,9729.62
0,Medium,Low,Minor,136,1,13400.95
3,Medium,Adequate,Minor,119,1,9532.73
3,High,Adequate,None,86,1,8771.32
1,Medium,Adequate,None,162,0,10384.06
3,Medium,Low,None,53,1,6665.29
3,High,Adequate,None,83,1,8009.31
0,Low,Adequate,Major,24,1,6377.81
3,Medium,Low,Minor,66,1,10415.6
2,Low,Adequate,Minor,173,0,11483.07
0,High,Adequate,Major,151,1,9539.57
0,High,Adequate,None,45,0,3075.41
1,Low,Adequate,Minor,21,0,1148.21
3,High,Low,None,138,1,12990.34
1,Low,Low,Major,175,1,18953.61
2,High,Adequate,None,7,1,5305.67
0,High,Low,Major,38,1,6290.33
0,High,Adequate,None,162,0,9147.81
0,Low,Adequate,None,48,0,2235.82
2,High,Adequate,Minor,45,1,8070.63
2,High,Adequate,None,37,1,8029.38
1,Medium,Low,Minor,135,1,16088.41
1,High,Low,None,53,1,9632.37
1,Low,Low,Minor,164,1,18547.9
3,High,Adequate,None,91,1,11096.24
0,Low,Low,None,39,0,1833.29
0,High,Low,None,33,1,5073.31
1,Medium,Adequate,None,95,0,3907.79
0,Low,Adequate,None,78,0,3407.94
1,Low,Low,None,126,0,8768.4
3,Low,Adequate,None,16,0,791.3
3,Medium,Adequate,None,160,1,13693.62
2,Medium,Low,None,174,1,11213.29
3,Medium,Low,Major,109,1,10974.7
1,Low,Low,None,51,0,3347.49
3,Low,Adequate,None,117,0,5581.9
2,High,Low,Minor,8,1,5081.8
0,Low,Adequate,None,32,0,1494.17
1,High,Adequate,Minor,112,1,9419.2
0,High,Adequate,None,148,0,6379.07
2,Medium,Low,None,84,1,9286.64
2,Medium,Adequate,None,9,0,422.08
2,High,Adequate,Minor,5,1,3777.05
0,Low,Adequate,Minor,114,0,5426.95
0,Low,Adequate,None,120,0,8185.93
0,Low,Adequate,None,140,0,9404.96
0,High,Adequate,Major,64,1,10275.22
2,Low,Adequate,None,19,0,962.02
2,Medium,Adequate,None,56,0,2880.33
1,High,Low,Major,45,1,8437.12
1,High,Low,Minor,135,1,13490.32
0,Medium,Low,None,9,0,481.94
3,Low,Adequate,Minor,112,1,15070.12
3,High,Adequate,Major,138,1,16203.89
2,Medium,Adequate,None,11,0,550.86
2,Low,Adequate,None,137,0,7784.45
